distance,speed,frame
597.572,153,400
599.272,153,401
600.972,153,402
602.678,154,403
604.389,154,404
606.1,154,405
607.822,156,406
609.556,156,407
611.3,158,408
613.056,158,409
614.811,158,410
616.583,161,411
618.372,161,412
620.172,163,413
621.983,163,414
623.794,163,415
625.617,165,416
627.45,165,417
629.294,167,418
631.15,167,419
633.006,167,420
634.878,170,421
636.767,170,422
638.667,172,423
640.578,172,424
642.489,172,425
644.417,175,426
646.361,175,427
648.317,177,428
650.283,177,429
652.25,177,430
654.228,179,431
656.217,179,432
658.222,182,433
660.244,182,434
662.267,182,435
664.294,183,436
666.328,183,437
668.378,186,438
670.444,186,439
672.511,186,440
674.589,188,441
676.678,188,442
678.772,189,443
680.872,189,444
682.972,189,445
685.083,191,446
687.206,191,447
689.344,194,448
691.5,194,449
693.656,194,450
695.811,194,451
697.967,194,452
700.139,197,453
702.328,197,454
704.517,197,455
706.711,198,456
708.911,198,457
711.128,201,458
713.361,201,459
715.594,201,460
717.839,203,461
720.094,203,462
722.35,203,463
724.606,203,464
726.861,203,465
729.122,204,466
731.389,204,467
733.661,205,468
735.939,205,469
738.217,205,470
740.489,204,471
742.756,204,472
745.022,204,473
747.289,204,474
749.556,204,475
751.828,205,476
754.106,205,477
756.383,205,478
758.661,205,479
760.939,205,480
763.217,205,481
765.494,205,482
767.778,206,483
770.067,206,484
772.356,206,485
774.639,205,486
776.917,205,487
779.189,204,488
781.456,204,489
783.722,204,490
785.989,204,491
788.256,204,492
790.522,204,493
792.789,204,494
795.056,204,495
797.328,205,496
799.606,205,497
801.883,205,498
804.161,205,499
806.439,205,500
808.711,204,501
810.978,204,502
813.25,205,503
815.528,205,504
817.806,205,505
820.083,205,506
822.361,205,507
824.639,205,508
826.917,205,509
829.194,205,510
831.472,205,511
833.75,205,512
836.033,206,513
838.322,206,514
840.611,206,515
842.889,204,516
845.156,204,517
847.411,202,518
849.656,202,519
851.9,202,520
854.128,199,521
856.339,199,522
858.539,197,523
860.728,197,524
862.917,197,525
865.089,194,526
867.244,194,527
869.389,192,528
871.522,192,529
873.656,192,530
875.772,189,531
877.872,189,532
879.95,185,533
882.006,185,534
884.061,185,535
886.1,182,536
888.122,182,537
890.122,178,538
892.1,178,539
894.078,178,540
896.033,174,541
897.967,174,542
899.878,170,543
901.767,170,544
903.656,170,545
905.522,166,546
907.367,166,547
909.189,162,548
910.989,162,549
912.789,162,550
914.567,158,551
916.322,158,552
918.067,156,553
919.8,156,554
921.533,156,555
923.25,153,556
924.95,153,557
926.639,151,558
928.317,151,559
929.994,151,560
931.656,148,561
933.3,148,562
934.939,147,563
936.572,147,564
938.206,147,565
939.828,145,566
941.439,145,567
943.039,143,568
944.628,143,569
946.217,143,570
947.8,142,571
949.378,142,572
950.95,141,573
952.517,141,574
954.083,141,575
955.639,139,576
957.183,139,577
958.728,139,578
960.272,139,579
961.817,139,580
963.35,137,581
964.872,137,582
966.383,135,583
967.883,135,584
969.383,135,585
970.872,133,586
972.35,133,587
973.811,130,588
975.256,130,589
976.7,130,590
978.144,130,591
979.589,130,592
981.022,128,593
982.444,128,594
983.867,128,595
985.272,125,596
986.661,125,597
988.039,123,598
989.406,123,599
990.772,123,600
992.122,120,601
993.456,120,602
994.778,118,603
996.089,118,604
997.4,118,605
998.7,116,606
999.989,116,607
1001.272,115,608
1002.55,115,609
1003.828,115,610
1005.1,114,611
1006.367,114,612
1007.628,113,613
1008.883,113,614
1010.139,113,615
1011.389,112,616
1012.633,112,617
1013.867,110,618
1015.089,110,619
1016.311,110,620
1017.533,110,621
1018.756,110,622
1019.972,109,623
1021.183,109,624
1022.394,109,625
1023.606,109,626
1024.817,109,627
1026.022,108,628
1027.222,108,629
1028.422,108,630
1029.617,107,631
1030.806,107,632
1031.989,106,633
1033.167,106,634
1034.344,106,635
1035.517,105,636
1036.683,105,637
1037.85,105,638
1039.017,105,639
1040.183,105,640
1041.344,104,641
1042.5,104,642
1043.661,105,643
1044.828,105,644
1045.994,105,645
1047.167,106,646
1048.344,106,647
1049.528,107,648
1050.717,107,649
1051.906,107,650
1053.1,108,651
1054.3,108,652
1055.511,110,653
1056.733,110,654
1057.956,110,655
1059.183,111,656
1060.417,111,657
1061.661,113,658
1062.917,113,659
1064.172,113,660
1065.433,114,661
1066.7,114,662
1067.978,116,663
1069.267,116,664
1070.556,116,665
1071.856,118,666
1073.167,118,667
1074.483,119,668
1075.806,119,669
1077.128,119,670
1078.461,121,671
1079.806,121,672
1081.161,123,673
1082.528,123,674
1083.894,123,675
1085.272,125,676
1086.661,125,677
1088.061,127,678
1089.472,127,679
1090.883,127,680
1092.3,128,681
1093.722,128,682
1095.161,131,683
1096.617,131,684
1098.072,131,685
1099.539,133,686
1101.017,133,687
1102.506,135,688
1104.006,135,689
1105.506,135,690
1107.017,137,691
1108.539,137,692
1110.078,140,693
1111.633,140,694
1113.189,140,695
1114.761,143,696
1116.35,143,697
1117.956,146,698
1119.578,146,699
1121.2,146,700
1122.839,149,701
1124.494,149,702
1126.167,152,703
1127.856,152,704
1129.544,152,705
1131.244,154,706
1132.956,154,707
1134.678,156,708
1136.411,156,709
1138.144,156,710
1139.878,156,711
1141.611,156,712
1143.339,155,713
1145.061,155,714
1146.783,155,715
1148.506,155,716
1150.228,155,717
1151.939,153,718
1153.639,153,719
1155.339,153,720
1157.028,151,721
1158.706,151,722
1160.372,149,723
1162.028,149,724
1163.683,149,725
1165.328,147,726
1166.961,147,727
1168.589,146,728
1170.211,146,729
1171.833,146,730
1173.444,144,731
1175.044,144,732
1176.633,142,733
1178.211,142,734
1179.789,142,735
1181.361,141,736
1182.928,141,737
1184.489,140,738
1186.044,140,739
1187.6,140,740
1189.15,139,741
1190.694,139,742
1192.239,139,743
1193.783,139,744
1195.328,139,745
1196.861,137,746
1198.383,137,747
1199.894,135,748
1201.394,135,749
1202.894,135,750
1204.389,134,751
1205.878,134,752
1207.35,131,753
1208.806,131,754
1210.261,131,755
1211.706,129,756
1213.139,129,757
1214.561,127,758
1215.972,127,759
1217.383,127,760
1218.783,125,761
1220.172,125,762
1221.55,123,763
1222.917,123,764
1224.283,123,765
