distance,speed
929.5,253
932.399,248
935.269,248
938.14,248
941.01,248
943.851,243
946.664,243
949.453,239
952.219,239
954.986,239
957.723,234
960.408,230
963.07,230
965.709,226
968.325,226
970.923,223
973.504,223
976.062,219
978.597,219
981.131,219
983.643,215
986.131,215
988.62,215
991.091,212
993.545,212
995.975,208
998.383,208
1000.79,208
1003.174,204
1005.535,204
1007.873,200
1010.188,200
1012.503,200
1014.8,197
1017.08,197
1019.36,197
1021.617,193
1023.834,190
1026.033,190
1028.215,187
1030.379,187
1032.543,187
1034.685,183
1036.803,183
1038.897,179
1040.946,175
1042.972,175
1044.997,175
1046.999,171
1048.978,171
1050.958,171
1052.937,171
1054.893,167
1056.797,162
1058.672,162
1060.524,158
1062.352,158
1064.181,158
1065.986,154
1067.769,154
1069.551,154
1071.334,154
1073.116,154
1074.852,146
1076.542,146
1078.203,141
1079.835,141
1081.467,141
1083.081,138
1084.679,138
1086.247,133
1087.786,133
1089.326,133
1090.848,130
1092.352,130
1093.857,130
1095.338,126
1096.797,126
1098.226,121
1099.626,121
1101.01,118
1102.375,118
1103.724,115
1105.055,115
1106.363,111
1107.647,111
1108.932,111
1110.205,109
1111.455,107
1112.694,107
1113.932,107
1115.17,107
1116.386,103
1117.578,103
1118.747,99
1119.893,99
1121.038,99
1122.167,96
1123.278,96
1124.366,92
1125.431,92
1126.478,89
1127.508,89
1128.515,85
1129.499,85
1130.483,85
1131.443,81
1132.381,81
1133.301,78
1134.204,78
1135.107,78
1135.992,75
1136.837,71
1137.659,71
1138.469,69
1139.268,69
1140.049,66
1140.813,66
1141.577,66
1142.329,64
1143.07,64
1143.81,64
1144.551,64
1145.292,64
1146.027,63
1146.744,61
1147.45,61
1148.145,59
1148.828,59
1149.511,59
1150.188,58
1150.859,58
1151.519,56
1152.167,56
1152.815,56
1153.457,55
1154.082,53
1154.696,53
1155.309,53
1155.928,54
1156.553,54
1157.173,53
1157.786,53
1158.388,51
1158.978,51
1159.568,51
1160.159,51
1160.749,51
1161.339,51
1161.93,51
1162.52,51
1163.098,49
1163.666,49
1164.233,49
1164.8,49
1165.367,49
1165.94,50
1166.519,50
1167.097,50
1167.664,48
1168.226,49
1168.793,49
1169.36,49
1169.95,53
1170.564,53
1171.171,52
1171.773,52
1172.375,52
1172.983,53
1173.596,53
1174.21,53
1174.823,53
1175.46,57
1176.113,56
1176.762,56
1177.421,58
1178.093,58
1178.764,58
1179.453,61
1180.159,61
1180.876,63
1181.605,63
1182.335,63
1183.075,65
1183.851,69
1184.649,69
1185.448,69
1186.247,69
1187.063,72
1187.896,72
1188.747,75
1189.615,75
1190.483,75
1191.368,78
1192.271,78
1193.197,82
1194.146,82
1195.095,82
1196.056,84
1197.028,84
1198.017,87
1199.024,87
1200.031,87
1201.056,90
1202.097,90
1203.162,94
1204.25,94
1205.35,96
1206.478,99
1207.624,99
1208.77,99
1209.939,103
1211.131,103
1212.323,103
1213.527,105
1214.742,105
1215.957,105
1217.19,108
1218.44,108
1219.713,112
1221.009,112
1222.305,112
1223.625,116
1224.968,116
1226.322,118
1227.687,118
1229.076,122
1230.488,122
1231.924,126
1233.382,126
1234.84,126
1236.31,128
1237.815,132
1239.342,132
1240.87,132
1242.421,136
1243.995,136
1245.581,138
1247.178,138
1248.775,138
1250.39,141
1252.051,146
1253.741,146
1255.43,146
1257.12,146
1258.822,148
1260.535,148
1262.265,151
1264.013,151
1265.76,151
1267.525,154
1269.308,154
1271.107,157
1272.925,157
1274.742,157
1276.57,159
1278.434,163
1280.32,163
1282.207,163
1284.105,165
1286.015,165
1287.942,168
1289.886,168
1291.831,168
1293.793,171
1295.772,171
1297.762,173
1299.765,173
1301.767,173
1303.787,176
1305.824,176
1307.872,178
1309.933,178
1311.993,178
1314.064,180
1316.148,180
1318.231,180
1320.332,183
1322.45,183
1324.579,185
1326.732,187
1328.897,187
1331.061,187
1333.237,189
1335.424,189
1337.635,193
1339.869,193
1342.103,193
1344.336,193
1346.57,193
1348.821,196
1351.09,196
1353.358,196
1355.638,198
1357.93,198
1360.233,200
1362.548,200
1364.88,203
1367.23,203
1369.585,204
1371.946,204
1374.307,204
1376.668,204
1379.041,206
1381.425,206
1383.821,208
1386.229,208
1388.636,208
1391.055,210
1393.497,212
1395.951,212
1398.405,212
1400.858,212
1403.312,212
1405.754,210
1408.185,210
1410.592,206
1412.976,206
1415.36,206
1417.716,201
1420.042,201
1422.369,201
1424.666,196
1426.935,196
1429.18,192
1431.373,187
1433.538,187
1435.702,187
1437.837,182
1439.944,182
1442.05,182
1444.134,178
1446.171,174
1448.184,174
1450.198,174
1452.189,170
1454.157,170
1456.124,170
1458.092,170
1460.042,167
1461.946,162
1463.821,162
1465.679,159
1467.519,159
1469.359,159
1471.176,155
1472.97,155
1474.753,153
1476.524,153
1478.294,153
1480.048,150
1481.784,150
1483.508,148
1485.221,148
1486.929,147
1488.63,147
1490.32,145
1491.998,145
1493.67,144
1495.337,144
1497.004,144
1498.67,144
1500.337,144
1502.004,144
1503.67,144
1505.331,143
1506.981,142
1508.624,142
1510.268,142
1511.911,142
1513.555,142
1515.198,142
1516.842,142
1518.485,142
1520.129,142
1521.772,142
1523.416,142
1525.059,142
1526.703,142
1528.346,142
1529.99,142
1531.633,142
1533.277,142
1534.92,142
1536.564,142
1538.207,142
1539.857,143
1541.512,143
1543.161,142
1544.805,142
1546.454,143
1548.109,143
1549.764,143
1551.419,143
1553.074,143
1554.729,143
1556.379,142
1558.022,142
1559.666,142
1561.315,143
1562.97,143
1564.625,143
1566.28,143
1567.935,143
1569.59,143
1571.245,143
1572.901,143
1574.544,141
1576.176,141
1577.808,141
1579.44,141
1581.072,141
1582.704,141
1584.336,141
1585.962,140
1587.582,140
1589.203,140
1590.817,139
1592.426,139
1594.035,139
1595.644,139
1597.252,139
1598.85,137
1600.435,137
1602.027,138
1603.624,138
1605.221,138
1606.824,139
1608.433,139
1610.042,139
1611.65,139
1613.259,139
1614.868,139
1616.477,139
1618.086,139
1619.694,139
1621.303,139
1622.918,140
1624.538,140
1626.153,139
1627.761,139
1629.376,140
1630.996,140
1632.617,140
1634.237,140
1635.858,140
1637.478,140
1639.116,143
1640.771,143
1642.426,143
1644.092,145
1645.771,145
1647.449,145
1649.139,147
1650.84,147
1652.542,147
1654.266,151
1656.014,151
1657.773,153
1659.544,153
1661.315,153
1663.085,153
1664.856,153
1666.616,151
1668.363,151
1670.111,151
1671.83,146
1673.519,146
1675.186,142
1676.83,142
1678.473,142
1680.082,136
1681.656,136
1683.23,136
1684.804,136
1686.361,133
1687.883,130
1689.387,130
1690.892,130
1692.374,126
1693.832,126
1695.273,123
1696.696,123
1698.12,123
1699.544,123
1700.944,119
1702.321,119
1703.676,115
1705.007,115
1706.338,115
1707.651,112
1708.948,112
1710.215,107
1711.453,107
1712.669,103
1713.843,100
1715.001,100
1716.158,100
1717.298,97
1718.421,97
1719.532,95
1720.632,95
1721.731,95
1722.808,91
1723.861,91
1724.897,88
1725.915,88
1726.934,88
1727.941,86
1728.936,86
1729.908,82
1730.857,82
1731.789,79
1732.703,79
1733.618,79
1734.52,77
1735.412,77
1736.303,77
1737.177,74
1738.022,72
1738.855,72
1739.688,72
1740.516,71
1741.338,71
1742.148,69
1742.946,69
1743.745,69
1744.538,68
1745.325,68
1746.106,67
1746.882,67
1747.657,67
1748.427,66
1749.191,66
1749.949,65
1750.701,65
1751.453,65
1752.194,63
1752.923,63
1753.647,62
1754.364,62
1755.082,62
1755.794,61
1756.5,61
1757.188,58
1757.859,58
1758.519,56
1759.167,56
1759.81,55
1760.446,55
1761.083,55
1761.708,53
1762.321,53
1762.917,50
1763.496,50
1764.075,50
1764.642,48
1765.197,48
1765.741,46
1766.274,46
1766.806,46
1767.321,43
1767.819,43
1768.311,42
1768.797,42
1769.283,42
1769.763,41
1770.238,41
1770.712,41
1771.187,41
1771.656,40
1772.119,40
1772.582,40
1773.045,40
1773.508,40
1773.976,41
1774.451,41
1774.931,42
1775.417,42
1775.903,42
1776.395,43
1776.893,43
1777.396,44
1777.906,44
1778.415,44
1778.93,45
1779.451,45
1779.977,46
1780.51,46
1781.042,46
1781.586,48
1782.153,50
1782.732,50
1783.322,52
1783.924,52
1784.526,52
1785.14,54
1785.765,54
1786.407,57
1787.067,57
1787.726,57
1788.403,60
1789.115,63
1789.844,63
1790.574,63
1791.303,63
1792.032,63
1792.778,66
1793.542,66
1794.306,66
1795.099,71
1795.932,73
1796.777,73
1797.645,77
1798.536,77
1799.445,80
1800.371,80
1801.297,80
1802.223,80
1803.154,81
1804.104,83
1805.064,83
1806.036,85
1807.02,85
1808.004,85
1808.988,85
1809.977,86
1810.979,87
1811.985,87
1812.992,87
1814.011,89
1815.041,89
1816.065,88
1817.084,88
1818.108,89
1819.138,89
1820.168,89
1821.204,90
1822.246,90
1823.288,90
1824.329,90
1825.377,91
1826.43,91
1827.483,91
1828.542,92
1829.607,92
1830.678,93
1831.754,93
1832.83,93
1833.918,95
1835.024,96
1836.135,96
1837.246,96
1838.369,98
1839.503,98
1840.654,101
1841.823,101
1842.992,101
1844.173,103
1845.365,103
1846.575,106
1847.801,106
1849.028,106
1850.267,108
1851.517,108
1852.778,110
1854.051,110
1855.324,110
1856.609,112
1857.905,112
1859.202,112
1860.515,115
1861.846,115
1863.177,115
1864.52,117
1865.892,120
1867.28,120
1868.669,120
1870.076,123
1871.499,123
1872.923,123
1874.358,125
1875.805,125
1877.269,128
1878.75,128
1880.243,130
1881.748,130
1883.27,133
1884.809,133
1886.366,136
1887.94,136
1889.514,136
1891.106,139
1892.714,139
1894.323,139
1895.955,143
1897.61,143
1899.277,145
1900.955,145
1902.633,145
1904.329,148
1906.042,148
1907.766,150
1909.503,150
1911.239,150
1912.998,154
1914.78,154
1916.574,156
1918.38,156
1920.185,156
1922.003,158
1923.849,161
1925.712,161
1927.593,164
1929.491,164
1931.389,164
1933.299,166
1935.22,166
1937.159,169
1939.115,169
1941.071,169
1943.038,171
1945.018,171
1947.014,174
1949.028,174
1951.042,174
1953.073,177
1955.122,177
1957.17,177
1959.23,179
1961.302,179
1963.386,181
1965.48,181
1967.593,184
1969.722,184
1971.864,186
1974.016,186
1976.186,189
1978.374,189
1980.561,189
1982.76,191
1984.971,191
1987.193,193
1989.427,193
1991.661,193
1993.912,196
1996.181,196
1998.455,197
2000.735,197
2003.032,200
2005.347,200
2007.662,200
2009.988,202
2012.326,202
2014.664,202
2017.014,204
2019.375,204
2021.748,206
2024.132,206
2026.528,208
2028.935,208
2031.354,210
2033.785,210
2036.215,210
2038.657,212
2041.111,212
2043.576,214
2046.053,214
2048.53,214
2051.018,216
2053.518,216
2056.03,218
2058.553,218
2061.076,218
2063.611,220
2066.157,220
2068.703,220
2071.261,222
2073.831,222
2076.406,223
2078.987,223
2081.574,224
2084.166,224
2086.753,223
2089.334,223
2091.915,223
2094.485,221
2097.043,221
2099.571,216
2102.071,216
2104.571,216
2107.048,212
2109.502,212
2111.938,209
2114.357,209
2116.776,209
2119.172,205
2121.545,205
2123.894,201
2126.221,201
2128.547,201
2130.85,197
2133.13,197
2135.387,193
2137.621,193
2139.855,193
2142.066,189
2144.224,184
2146.354,184
2148.483,184
2150.59,180
2152.673,180
2154.733,176
2156.77,176
2158.807,176
2160.844,176
2162.853,171
2164.832,171
2166.788,167
2168.721,167
2170.653,167
2172.563,163
2174.421,158
2176.249,158
2178.078,158
2179.907,158
2181.707,153
2183.477,153
2185.231,150
2186.967,150
2188.703,150
2190.393,142
2192.036,142
2193.68,142
2195.324,142
2196.944,138
2198.518,134
2200.051,131
2201.568,131
2203.084,131
2204.6,131
2206.087,126
2207.546,126
2209.004,126
2210.445,123
2211.869,123
2213.292,123
2214.687,118
2216.029,114
2217.349,114
2218.668,114
2219.965,110
2221.238,110
2222.511,110
2223.784,110
2225.034,106
2226.238,102
2227.395,98
2228.529,98
2229.664,98
2230.798,98
2231.909,94
2232.997,94
2234.085,94
2235.15,90
2236.191,90
2237.187,82
2238.136,82
2239.085,82
2240.011,78
2240.914,78
2241.799,75
2242.667,75
2243.535,75
2244.386,72
2245.219,72
2246.053,72
2246.868,69
2247.667,69
2248.466,69
2249.247,66
2249.988,62
2250.705,62
2251.423,62
2252.123,59
2252.806,59
2253.477,57
2254.137,57
2254.797,57
2255.456,57
2256.105,55
2256.741,55
2257.378,55
2258.014,55
2258.651,55
2259.287,55
2259.912,53
2260.526,53
2261.139,53
2261.747,52
2262.349,52
2262.956,53
2263.57,53
2264.172,51
2264.762,51
2265.352,51
2265.937,50
2266.515,50
2267.1,51
2267.69,51
2268.28,51
2268.877,52
2269.478,52
2270.08,52
2270.688,53
2271.301,53
2271.921,54
2272.546,54
2273.176,55
2273.813,55
2274.449,55
2275.098,57
2275.757,57
2276.417,57
2277.077,57
2277.742,58
2278.414,58
2279.091,59
2279.773,59
2280.456,59
2281.139,59
2281.822,59
2282.505,59
2283.188,59
2283.882,61
2284.588,61
2285.294,61
2286.0,61
2286.706,61
2287.412,61
2288.13,63
2288.859,63
2289.594,64
2290.335,64
2291.087,66
2291.851,66
2292.615,66
2293.396,69
2294.195,69
2295.005,71
2295.827,71
2296.66,73
2297.505,73
2298.361,75
2299.229,75
2300.098,75
2300.971,76
2301.851,76
2302.742,78
2303.645,78
2304.548,78
2305.462,80
2306.394,81
2307.331,81
2308.269,81
2309.206,81
2310.155,83
2311.116,83
2312.077,83
2313.049,85
2314.033,85
2315.034,88
2316.052,88
2317.088,91
2318.141,91
2319.206,93
2320.283,93
2321.382,97
2322.505,97
2323.628,97
2324.762,99
2325.908,99
2327.071,102
2328.251,102
2329.432,102
2330.612,102
2331.81,105
2333.037,107
2334.276,107
2335.514,107
2336.77,110
2338.043,110
2339.334,113
2340.641,113
2341.949,113
2343.269,115
2344.6,115
2345.931,115
2347.279,118
2348.656,120
2350.045,120
2351.434,120
2352.84,123
2354.264,123
2355.699,125
2357.146,125
2358.593,125
2360.057,128
2361.538,128
2363.031,130
2364.536,130
2366.058,133
2367.597,133
2369.137,133
2370.688,135
2372.25,135
2373.824,137
2375.41,137
2376.995,137
2378.593,139
2380.201,139
2381.822,141
2383.454,141
2385.097,143
2386.752,143
2388.419,145
2390.097,145
2391.775,145
2393.471,148
2395.184,148
2396.897,148
2398.616,149
2400.34,149
2402.082,152
2403.841,152
2405.612,154
2407.395,154
2409.177,154
2410.971,156
2412.777,156
2414.594,158
2416.422,158
2418.251,158
2420.097,161
2421.961,161
2423.824,161
2425.699,163
2427.597,165
2429.507,165
2431.417,165
2433.338,167
2435.271,167
2437.221,170
2439.189,170
2441.156,170
2443.135,172
2445.126,172
2447.117,172
2449.119,174
2451.133,174
2453.158,176
2455.195,176
2457.25,179
2459.322,179
2461.393,179
2463.465,179
2465.543,180
2467.643,183
2469.761,183
2471.879,183
2474.009,185
2476.162,187
2478.326,187
2480.491,187
2482.666,189
2484.854,189
2487.041,189
2489.229,189
2491.416,189
2493.604,189
2495.791,189
2497.962,186
2500.114,186
2502.267,186
2504.391,181
2506.486,181
2508.581,181
2510.652,177
2512.701,177
2514.75,177
2516.775,173
2518.748,168
2520.693,168
2522.637,168
2524.559,164
2526.434,160
2528.286,160
2530.137,160
2531.966,156
2533.772,156
2535.554,152
2537.313,152
2539.073,152
2540.803,147
2542.504,147
2544.188,144
2545.832,140
2547.452,140
2549.072,140
2550.693,140
2552.29,136
2553.864,136
2555.438,136
2556.989,132
2558.5,129
2559.993,129
2561.468,126
2562.927,126
2564.385,126
2565.843,126
2567.284,123
2568.708,123
2570.131,123
2571.538,120
2572.915,118
2574.281,118
2575.629,115
2576.96,115
2578.291,115
2579.622,115
2580.936,112
2582.221,110
2583.494,110
2584.767,110
2586.028,108
2587.278,108
2588.517,106
2589.744,106
2590.971,106
2592.18,103
2593.372,103
2594.564,103
2595.745,101
2596.896,98
2598.031,98
2599.148,95
2600.247,95
2601.347,95
2602.446,95
2603.528,92
2604.593,92
2605.646,90
2606.688,90
2607.73,90
2608.754,87
2609.761,87
2610.756,85
2611.74,85
2612.707,82
2613.656,82
2614.605,82
2615.542,80
2616.468,80
2617.382,78
2618.285,78
2619.188,78
2620.079,76
2620.953,75
2621.821,75
2622.683,74
2623.54,74
2624.396,74
2625.247,73
2626.092,73
2626.931,72
2627.764,72
2628.598,72
2629.431,72
2630.259,71
2631.08,71
2631.896,70
2632.706,70
2633.517,70
2634.327,70
2635.137,70
2635.941,69
2636.74,69
2637.533,68
2638.32,68
2639.107,68
2639.894,68
2640.675,67
2641.451,67
2642.226,67
2642.996,66
2643.76,66
2644.518,65
2645.27,65
2646.022,65
2646.775,65
2647.527,65
2648.279,65
2649.02,63
2649.749,63
2650.478,63
2651.208,63
2651.931,62
2652.649,62
2653.366,62
2654.078,61
2654.784,61
2655.49,61
2656.196,61
2656.902,61
2657.602,60
2658.297,60
2658.991,60
2659.686,60
2660.386,61
2661.092,61
2661.798,61
2662.504,61
2663.21,61
2663.927,63
2664.657,63
2665.386,63
2666.115,63
2666.861,66
2667.631,67
2668.407,67
2669.194,69
2669.992,69
2670.802,71
2671.624,71
2672.446,71
2673.274,72
2674.107,72
2674.94,72
2675.785,74
2676.647,75
2677.515,75
2678.383,75
2679.257,76
2680.137,76
2681.017,76
2681.896,76
2682.776,76
2683.673,79
2684.587,79
2685.513,81
2686.451,81
2687.4,83
2688.36,83
2689.321,83
2690.31,88
2691.329,88
2692.359,90
2693.401,90
2694.442,90
2695.496,92
2696.56,92
2697.643,95
2698.742,95
2699.853,97
2700.976,97
2702.11,99
2703.256,99
2704.402,99
2705.565,102
2706.746,102
2707.926,102
2709.118,104
2710.322,104
2711.526,104
2712.729,104
2713.956,108
2715.224,111
2716.508,111
2717.805,113
2719.112,113
2720.42,113
2721.751,117
2723.106,117
2724.477,120
2725.866,120
2727.255,120
2728.661,123
2730.096,125
2731.543,125
2733.013,129
2734.506,129
2735.999,129
2737.498,130
2739.002,130
2740.507,130
2742.029,133
2743.568,133
2745.108,133
2746.647,133
2748.21,137
2749.801,138
2751.398,138
2753.013,141
2754.645,141
2756.277,141
2757.926,144
2759.593,144
2761.259,144
2762.938,146
2764.627,146
2766.317,146
2768.03,150
2769.778,152
2771.537,152
2773.296,152
2775.073,155
2776.867,155
2778.678,158
2780.507,158
2782.336,158
2784.176,160
2786.028,160
2787.903,164
2789.801,164
2791.699,164
2793.603,165
2795.513,165
2797.422,165
2799.355,169
2801.311,169
2803.279,171
2805.258,171
2807.255,174
2809.268,174
2811.282,174
2813.308,176
2815.362,179
2817.434,179
2819.506,179
2821.589,181
2823.684,181
2825.796,184
2827.926,184
2830.055,184
2832.197,186
2834.349,186
2836.52,189
2838.707,189
2840.895,189
2843.094,191
2845.304,191
2847.526,193
2849.76,193
2852.006,195
2854.263,195
2856.537,198
2858.829,198
2861.12,198
2863.412,198
2865.715,200
2868.041,202
2870.379,202
2872.717,202
2875.073,205
2877.445,205
2879.824,206
2882.208,206
2884.592,206
2886.988,208
2889.396,208
2891.82,211
2894.262,211
2896.705,211
2899.152,212
2901.606,212
2904.077,215
2906.566,215
2909.066,217
2911.577,217
2914.1,219
2916.635,219
2919.17,219
2921.71,220
2924.268,222
2926.838,222
2929.407,222
2931.988,224
2934.581,224
2937.173,224
2939.777,226
2942.393,226
2945.009,226
2947.636,228
2950.275,228
2952.92,229
2955.57,229
2958.221,229
2960.883,231
2963.556,231
2966.241,233
2968.938,233
2971.635,233
2974.337,234
2977.046,234
2979.766,236
2982.497,236
2985.229,236
2987.972,238
2990.738,240
2993.516,240
2996.293,240
2999.077,241
3001.866,241
3004.656,241
3007.445,241
3010.234,241
3013.006,238
3015.761,238
3018.516,238
3021.27,238
3024.002,234
3026.71,234
3029.389,229
3032.04,229
3034.69,229
3037.318,225
3039.922,225
3042.509,222
3045.078,222
3047.647,222
3050.188,217
3052.688,215
3055.176,215
3057.665,215
3060.136,212
3062.59,212
3065.02,208
3067.427,208
3069.835,208
3072.225,205
3074.598,205
3076.953,202
3079.291,202
3081.6,197
3083.88,197
3086.16,197
3088.423,194
3090.668,194
3092.913,194
3095.124,188
3097.288,186
3099.441,186
3101.571,182
3103.677,182
3105.784,182
3107.867,178
3109.927,178
3111.988,178
3114.036,176
3116.05,172
3118.041,172
3120.014,169
3121.97,169
3123.926,169
3125.882,169
3127.815,165
3129.725,165
3131.634,165
3133.527,162
3135.402,162
3137.248,157
3139.065,157
3140.859,153
3142.63,153
3144.401,153
3146.154,150
3147.89,150
3149.597,145
3151.276,145
3152.936,142
3154.58,142
3156.195,137
3157.78,137
3159.366,137
3160.934,134
3162.485,134
3164.013,130
3165.517,130
3167.022,130
3168.498,125
3169.945,125
3171.391,125
3172.815,121
3174.215,121
3175.593,117
3176.947,117
3178.272,112
3179.568,112
3180.841,108
3182.091,108
3183.313,103
3184.505,103
3185.697,103
3186.866,99
3187.988,95
3189.088,95
3190.188,95
3191.264,91
3192.317,91
3193.37,91
3194.395,86
3195.39,86
3196.385,86
3197.358,82
3198.307,82
3199.256,82
3200.182,78
3201.084,78
3201.964,74
3202.821,74
3203.654,70
3204.464,70
3205.274,70
3206.067,67
3206.843,67
3207.601,64
3208.341,64
3209.065,61
3209.771,61
3210.459,58
3211.131,58
3211.802,58
3212.462,56
3213.11,56
3213.741,53
3214.354,53
3214.968,53
3215.569,51
3216.16,51
3216.75,51
3217.34,51
3217.919,49
3218.48,48
3219.036,48
3219.591,48
3220.135,46
