frame,speed,distance,time,accel
60,98.0,0.0,0.0,68.65917827557826
61,9.0,0.5944444444444444,0.04,5.066831161975486
62,100.0,1.2000000000000002,0.08,46.30776644400661
63,100.0,2.311111111111111,0.12,38.455013256135764
64,100.0,3.4222222222222225,0.16,32.74237257808854
65,102.0,4.544444444444445,0.2,29.348013676175032
66,103.0,5.683333333333334,0.24,33.21849554728628
67,104.0,6.833333333333335,0.28,6.657320460609077
68,104.0,7.98888888888889,0.32,6.774322031113498
69,105.0,9.15,0.36,6.709179640390585
70,107.0,10.32777777777778,0.4,6.399726846983177
71,108.0,11.522222222222222,0.44,6.403872799409666
72,109.0,12.727777777777778,0.48,6.47086133736814
73,109.0,13.93888888888889,0.52,6.222738767516582
74,110.0,15.155555555555559,0.56,5.792142543856114
75,111.0,16.383333333333333,0.6,5.7467133005796
76,112.0,17.622222222222224,0.64,6.0737114725366625
77,113.0,18.872222222222224,0.68,6.4593285346974385
78,113.0,20.127777777777776,0.72,6.524843798675856
79,114.0,21.38888888888889,0.76,6.401747448852522
80,116.0,22.666666666666668,0.8,7.036894998165426
81,117.0,23.96111111111111,0.84,7.223905005653735
82,118.0,25.266666666666666,0.88,7.407411108605675
83,118.0,26.57777777777778,0.92,7.207323931924158
84,119.0,27.894444444444442,0.96,6.767604830373395
85,122.0,29.23333333333333,1.0,7.083181553553366
86,122.0,30.58888888888889,1.04,7.1493691427233275
87,123.0,31.95,1.08,7.271446540529013
88,123.0,33.31666666666667,1.12,7.0158464133371945
89,124.0,34.68888888888888,1.16,6.517109116095398
90,127.0,36.08333333333333,1.2,6.442405939651322
91,127.0,37.49444444444444,1.24,6.897788648644153
92,128.0,38.91111111111111,1.28,7.08698761057902
93,128.0,40.333333333333336,1.32,6.900535065782172
94,129.0,41.76111111111111,1.36,6.464952219030395
95,131.0,43.205555555555556,1.4000000000000001,6.400017017037323
96,132.0,44.66666666666666,1.44,6.969577235281444
97,133.0,46.13888888888888,1.48,6.901759196650259
98,133.0,47.61666666666666,1.52,6.846424541358011
99,134.0,49.099999999999994,1.56,6.535772824699144
100,136.0,50.599999999999994,1.6,6.5941378740471865
101,137.0,52.11666666666666,1.6400000000000001,6.914109204405475
102,137.0,53.63888888888888,1.68,6.86009999125191
103,138.0,55.16666666666666,1.72,6.602465127381902
104,139.0,56.70555555555555,1.76,6.102856803557313
105,141.0,58.261111111111106,1.8,6.03084339087931
106,142.0,59.83333333333333,1.84,6.29101014467636
107,142.0,61.411111111111104,1.8800000000000001,6.565161590783312
108,142.0,62.98888888888887,1.92,6.208598496167652
109,143.0,64.57222222222221,1.96,5.648383442517307
110,145.0,66.17222222222222,2.0,5.572641010318774
111,146.0,67.78888888888889,2.04,5.5773988986253045
112,147.0,69.41666666666667,2.08,5.771354274915603
113,147.0,71.05000000000001,2.12,5.421631926529299
114,147.0,72.68333333333335,2.16,4.894982781763357
115,149.0,74.3277777777778,2.2,4.881473809809275
116,149.0,75.98333333333335,2.24,4.922220669671399
117,150.0,77.64444444444446,2.2800000000000002,5.184042664243538
118,150.0,79.3111111111111,2.32,5.279707515401249
119,151.0,80.98333333333332,2.36,4.970667022197392
120,153.0,82.67222222222222,2.4,4.88965506400932
121,153.0,84.37222222222222,2.44,5.245588880680549
122,154.0,86.07777777777778,2.48,5.44511897246165
123,154.0,87.78888888888889,2.52,5.415616502454932
124,154.0,89.5,2.56,4.8876693485471945
125,156.0,91.22222222222223,2.6,4.932064506200008
126,157.0,92.96111111111112,2.64,5.127943473771336
127,158.0,94.71111111111112,2.68,5.199263655990835
128,158.0,96.46666666666668,2.72,5.108423544962109
129,158.0,98.22222222222224,2.7600000000000002,4.897021321060533
130,160.0,99.98888888888891,2.8000000000000003,4.561900523129571
131,160.0,101.76666666666667,2.84,4.671027615543172
132,161.0,103.55,2.88,4.679471932524746
133,161.0,105.33888888888889,2.92,4.593635873721881
134,162.0,107.13333333333334,2.96,4.16046897787107
135,163.0,108.9388888888889,3.0,2.7168539846431456
136,164.0,110.75555555555556,3.04,1.457564290275684
137,164.0,112.57777777777778,3.08,0.12663946902280157
138,164.0,114.4,3.12,-1.2035389405047097
139,164.0,116.22222222222223,3.16,-2.793805760142707
140,162.0,118.03333333333335,3.2,-4.155778572923257
141,161.0,119.8277777777778,3.24,-4.906838777397354
142,161.0,121.61666666666669,3.2800000000000002,-5.3117700213669785
143,160.0,123.40000000000002,3.3200000000000003,-5.24472335494496
144,159.0,125.17222222222222,3.36,-5.04742169182672
145,158.0,126.93333333333332,3.4,-5.282763716461746
146,158.0,128.68888888888887,3.44,-5.938138145235687
147,157.0,130.43888888888887,3.48,-6.62871866928861
148,157.0,132.1833333333333,3.52,-6.735035392234783
149,156.0,133.9222222222222,3.56,-6.863928580729074
150,153.0,135.63888888888886,3.6,-7.279208625405898
151,152.0,137.33333333333331,3.64,-7.790141513799088
152,151.0,139.01666666666665,3.68,-8.237027369838806
153,151.0,140.69444444444443,3.72,-8.307781065204711
154,150.0,142.36666666666665,3.7600000000000002,-7.871328474950572
155,148.0,144.0222222222222,3.8000000000000003,-7.56375506485196
156,147.0,145.6611111111111,3.84,-7.886046013652353
157,145.0,147.28333333333333,3.88,-8.094654918606
158,145.0,148.89444444444445,3.92,-8.042365203656917
159,144.0,150.5,3.96,-7.8581301083661454
160,142.0,152.0888888888889,4.0,-8.114397474256826
161,141.0,153.66111111111113,4.04,-8.562573670235725
162,140.0,155.22222222222223,4.08,-8.8288784465388
163,140.0,156.77777777777777,4.12,-9.049985885520584
164,138.0,158.32222222222222,4.16,-9.005695896998834
165,135.0,159.8388888888889,4.2,-9.015094055539528
166,134.0,161.33333333333334,4.24,-9.601733697796405
167,133.0,162.8166666666667,4.28,-9.949462550711266
168,133.0,164.29444444444448,4.32,-9.812706580029909
169,131.0,165.76111111111115,4.36,-8.938820726695095
170,129.0,167.2055555555556,4.4,-8.814249550876564
171,127.0,168.62777777777782,4.44,-9.143207052116967
172,126.0,170.0333333333334,4.48,-9.36059556751369
173,126.0,171.4333333333334,4.5200000000000005,-9.153721640894616
174,125.0,172.82777777777784,4.5600000000000005,-8.343283766695004
175,122.0,174.20000000000007,4.6000000000000005,-8.520770425547957
176,121.0,175.55000000000004,4.64,-8.90783391682395
177,120.0,176.88888888888894,4.68,-9.127627381994605
178,120.0,178.22222222222229,4.72,-9.303707319545703
179,119.0,179.55000000000007,4.76,-8.882425830561765
180,115.0,180.85000000000008,4.8,-8.97091895061303
181,114.0,182.1222222222223,4.84,-9.684438426844272
182,114.0,183.38888888888897,4.88,-10.256670526952057
183,113.0,184.6500000000001,4.92,-10.503546006901955
184,112.0,185.9000000000001,4.96,-9.78695634955473
185,108.0,187.12222222222232,5.0,-9.16532978460402
186,107.0,188.31666666666678,5.04,-9.887185744899528
187,106.0,189.5000000000001,5.08,-10.379926413458122
188,105.0,190.67222222222233,5.12,-9.929657068910082
189,105.0,191.838888888889,5.16,-8.977096625157104
190,102.0,192.988888888889,5.2,-8.177046224275925
191,100.0,194.11111111111123,5.24,-8.29973943026678
192,99.0,195.21666666666678,5.28,-8.690484770681461
193,99.0,196.31666666666678,5.32,-8.680714973490389
194,99.0,197.41666666666677,5.36,-8.537564612077787
195,96.0,198.5000000000001,5.4,-7.923759227813316
196,95.0,199.56111111111122,5.44,-7.684941109929841
197,93.0,200.60555555555567,5.48,-7.683857442054185
198,93.0,201.638888888889,5.5200000000000005,-7.537743087218357
199,92.0,202.66666666666677,5.5600000000000005,-6.6608672712907016
200,90.0,203.6777777777779,5.6000000000000005,-5.6905830137683715
201,90.0,204.67777777777786,5.64,-5.234458995168667
202,89.0,205.6722222222223,5.68,-4.52462557658636
203,89.0,206.66111111111118,5.72,-4.1170500158521
204,89.0,207.65000000000006,5.76,-3.6297680090646294
