distance,speed,frame
597.572,153,452
599.272,153,453
600.972,153,454
602.678,154,455
604.389,154,456
606.1,154,457
607.822,156,458
609.556,156,459
611.3,158,460
613.056,158,461
614.811,158,462
616.583,161,463
618.372,161,464
620.172,163,465
621.983,163,466
623.794,163,467
625.617,165,468
627.45,165,469
629.294,167,470
631.15,167,471
633.006,167,472
634.878,170,473
636.767,170,474
638.667,172,475
640.578,172,476
642.489,172,477
644.417,175,478
646.361,175,479
648.317,177,480
650.283,177,481
652.25,177,482
654.228,179,483
656.217,179,484
658.222,182,485
660.244,182,486
662.267,182,487
664.294,183,488
666.328,183,489
668.378,186,490
670.444,186,491
672.511,186,492
674.589,188,493
676.678,188,494
678.772,189,495
680.872,189,496
682.972,189,497
685.083,191,498
687.206,191,499
689.344,194,500
691.5,194,501
693.656,194,502
695.811,194,503
697.967,194,504
700.139,197,505
702.328,197,506
704.517,197,507
706.711,198,508
708.911,198,509
711.128,201,510
713.361,201,511
715.594,201,512
717.839,203,513
720.094,203,514
722.35,203,515
724.606,203,516
726.861,203,517
729.122,204,518
731.389,204,519
733.661,205,520
735.939,205,521
738.217,205,522
740.489,204,523
742.756,204,524
745.022,204,525
747.289,204,526
749.556,204,527
751.828,205,528
754.106,205,529
756.383,205,530
758.661,205,531
760.939,205,532
763.217,205,533
765.494,205,534
767.778,206,535
770.067,206,536
772.356,206,537
774.639,205,538
776.917,205,539
779.189,204,540
781.456,204,541
783.722,204,542
785.989,204,543
788.256,204,544
790.522,204,545
792.789,204,546
795.056,204,547
797.328,205,548
799.606,205,549
801.883,205,550
804.161,205,551
806.439,205,552
808.711,204,553
810.978,204,554
813.25,205,555
815.528,205,556
817.806,205,557
820.083,205,558
822.361,205,559
824.639,205,560
826.917,205,561
829.194,205,562
831.472,205,563
833.75,205,564
836.033,206,565
838.322,206,566
840.611,206,567
842.889,204,568
845.156,204,569
847.411,202,570
849.656,202,571
851.9,202,572
854.128,199,573
856.339,199,574
858.539,197,575
860.728,197,576
862.917,197,577
865.089,194,578
867.244,194,579
869.389,192,580
871.522,192,581
873.656,192,582
875.772,189,583
877.872,189,584
879.95,185,585
882.006,185,586
884.061,185,587
886.1,182,588
888.122,182,589
890.122,178,590
892.1,178,591
894.078,178,592
896.033,174,593
897.967,174,594
899.878,170,595
901.767,170,596
903.656,170,597
905.522,166,598
907.367,166,599
909.189,162,600
910.989,162,601
912.789,162,602
914.567,158,603
916.322,158,604
918.067,156,605
919.8,156,606
921.533,156,607
923.25,153,608
924.95,153,609
926.639,151,610
928.317,151,611
929.994,151,612
931.656,148,613
933.3,148,614
934.939,147,615
936.572,147,616
938.206,147,617
939.828,145,618
941.439,145,619
943.039,143,620
944.628,143,621
946.217,143,622
947.8,142,623
949.378,142,624
950.95,141,625
952.517,141,626
954.083,141,627
955.639,139,628
957.183,139,629
958.728,139,630
960.272,139,631
961.817,139,632
963.35,137,633
964.872,137,634
966.383,135,635
967.883,135,636
969.383,135,637
970.872,133,638
972.35,133,639
973.811,130,640
975.256,130,641
976.7,130,642
978.144,130,643
979.589,130,644
981.022,128,645
982.444,128,646
983.867,128,647
985.272,125,648
986.661,125,649
988.039,123,650
989.406,123,651
990.772,123,652
992.122,120,653
993.456,120,654
994.778,118,655
996.089,118,656
997.4,118,657
998.7,116,658
999.989,116,659
1001.272,115,660
1002.55,115,661
1003.828,115,662
1005.1,114,663
1006.367,114,664
1007.628,113,665
1008.883,113,666
1010.139,113,667
1011.389,112,668
1012.633,112,669
1013.867,110,670
1015.089,110,671
1016.311,110,672
1017.533,110,673
1018.756,110,674
1019.972,109,675
1021.183,109,676
1022.394,109,677
1023.606,109,678
